Customer_ID,R,F,M,R_score,F_score,M_score,RFM_SCORE,Segment
233,382,5,4571,1,2,3,123,Churned High Value
234,63,4,1438,3,1,1,311,Normal Value
235,376,4,3030,1,1,2,112,Hibernated Normal Value
236,87,10,5901,3,3,3,333,High Value
237,392,7,5929,1,3,3,133,Churned High Value
238,26,8,6777,3,3,3,333,High Value
239,238,7,4426,2,3,2,232,Key Development
240,179,4,3413,2,1,2,212,Normal Value
241,205,3,3030,2,1,2,212,Normal Value
242,159,3,1952,2,1,1,211,Normal Value
243,91,7,3844,3,3,2,332,High Value
244,302,7,3884,1,3,2,132,Churned High Value
245,654,3,4414,1,1,2,112,Hibernated Normal Value
246,113,3,2371,2,1,1,211,Normal Value
247,625,5,2272,1,2,1,121,Hibernated Normal Value
248,212,6,6769,2,2,3,223,Key Development
249,1204,1,46,1,1,1,111,Hibernated Normal Value
250,95,7,7278,3,3,3,333,High Value
251,35,8,6656,3,3,3,333,High Value
252,650,5,4925,1,2,3,123,Churned High Value
253,45,8,5314,3,3,3,333,High Value
254,400,4,4580,1,1,3,113,Hibernated Normal Value
255,658,5,3421,1,2,2,122,Churned High Value
256,135,3,2619,2,1,1,211,Normal Value
257,467,4,4220,1,1,2,112,Hibernated Normal Value
258,69,6,4070,3,2,2,322,Key Development
259,188,4,1501,2,1,1,211,Normal Value
260,85,6,6729,3,2,3,323,High Value
261,77,8,4800,3,3,3,333,High Value
262,138,8,2578,2,3,1,231,Normal Value
263,69,8,5443,3,3,3,333,High Value
264,189,10,6338,2,3,3,233,High Value
265,82,5,5882,3,2,3,323,High Value
266,38,7,5236,3,3,3,333,High Value
267,24,5,3800,3,2,2,322,Key Development
268,404,3,5520,1,1,3,113,Hibernated Normal Value
269,182,7,5529,2,3,3,233,High Value
270,3,6,2673,3,2,1,321,Normal Value
271,55,5,4569,3,2,3,323,High Value
272,539,3,1164,1,1,1,111,Hibernated Normal Value
273,219,6,4747,2,2,3,223,Key Development
274,472,6,4923,1,2,3,123,Churned High Value
275,26,3,4475,3,1,2,312,Normal Value
276,282,5,4256,2,2,2,222,Key Development
277,139,7,5886,2,3,3,233,High Value
278,4,10,3978,3,3,2,332,High Value
279,348,4,4316,1,1,2,112,Hibernated Normal Value
280,371,5,5002,1,2,3,123,Churned High Value
281,206,2,1522,2,1,1,211,Normal Value
282,107,8,8036,3,3,3,333,High Value
283,216,6,1927,2,2,1,221,Normal Value
284,256,3,1741,2,1,1,211,Normal Value
285,322,9,7804,1,3,3,133,Churned High Value
286,449,2,1035,1,1,1,111,Hibernated Normal Value
287,887,1,2270,1,1,1,111,Hibernated Normal Value
288,79,5,4146,3,2,2,322,Key Development
289,263,6,5794,2,2,3,223,Key Development
290,350,4,4081,1,1,2,112,Hibernated Normal Value
291,251,4,2542,2,1,1,211,Normal Value
292,316,4,4388,1,1,2,112,Hibernated Normal Value
293,105,5,1023,3,2,1,321,Normal Value
294,185,3,2086,2,1,1,211,Normal Value
295,120,2,919,2,1,1,211,Normal Value
296,566,6,3712,1,2,2,122,Churned High Value
297,44,11,9973,3,3,3,333,High Value
298,75,5,4685,3,2,3,323,High Value
299,511,5,3850,1,2,2,122,Churned High Value
300,128,6,6255,2,2,3,223,Key Development
301,108,3,2529,3,1,1,311,Normal Value
302,44,7,3012,3,3,2,332,High Value
303,168,4,2202,2,1,1,211,Normal Value
304,140,7,3882,2,3,2,232,Key Development
305,175,5,1611,2,2,1,221,Normal Value
306,434,4,2936,1,1,2,112,Hibernated Normal Value
307,864,1,162,1,1,1,111,Hibernated Normal Value
308,12,3,1496,3,1,1,311,Normal Value
309,334,3,1577,1,1,1,111,Hibernated Normal Value
310,17,3,2026,3,1,1,311,Normal Value
311,397,7,4203,1,3,2,132,Churned High Value
312,541,3,1305,1,1,1,111,Hibernated Normal Value
313,15,9,7423,3,3,3,333,High Value
314,73,4,1702,3,1,1,311,Normal Value
315,126,11,10701,2,3,3,233,High Value
316,175,3,1004,2,1,1,211,Normal Value
317,333,3,3693,1,1,2,112,Hibernated Normal Value
318,104,9,10517,3,3,3,333,High Value
319,168,5,4310,2,2,2,222,Key Development
320,95,5,2681,3,2,1,321,Normal Value
321,669,4,1975,1,1,1,111,Hibernated Normal Value
322,299,5,6348,1,2,3,123,Churned High Value
323,245,3,1239,2,1,1,211,Normal Value
324,0,5,4893,3,2,3,323,High Value
325,433,8,3468,1,3,2,132,Churned High Value
326,169,5,5064,2,2,3,223,Key Development
327,41,6,1103,3,2,1,321,Normal Value
328,391,6,4262,1,2,2,122,Churned High Value
329,581,8,6668,1,3,3,133,Churned High Value
330,383,9,6613,1,3,3,133,Churned High Value
331,293,5,2519,1,2,1,121,Hibernated Normal Value
332,20,6,2774,3,2,2,322,Key Development
333,142,4,3330,2,1,2,212,Normal Value
334,80,5,6496,3,2,3,323,High Value
335,133,6,7128,2,2,3,223,Key Development
336,878,2,2313,1,1,1,111,Hibernated Normal Value
337,127,4,4010,2,1,2,212,Normal Value
338,74,4,5029,3,1,3,313,Key Development
339,150,5,3015,2,2,2,222,Key Development
340,27,10,7807,3,3,3,333,High Value
341,454,5,2236,1,2,1,121,Hibernated Normal Value
342,105,10,8579,3,3,3,333,High Value
343,525,5,3439,1,2,2,122,Churned High Value
344,503,7,5200,1,3,3,133,Churned High Value
345,0,7,6611,3,3,3,333,High Value
346,77,5,3956,3,2,2,322,Key Development
347,160,6,3608,2,2,2,222,Key Development
348,185,9,7918,2,3,3,233,High Value
349,250,4,4422,2,1,2,212,Normal Value
350,376,5,1525,1,2,1,121,Hibernated Normal Value
351,236,8,6217,2,3,3,233,High Value
352,335,3,785,1,1,1,111,Hibernated Normal Value
353,72,7,6682,3,3,3,333,High Value
354,220,4,3322,2,1,2,212,Normal Value
355,284,3,1963,2,1,1,211,Normal Value
356,471,4,3902,1,1,2,112,Hibernated Normal Value
357,263,6,5597,2,2,3,223,Key Development
358,30,4,1330,3,1,1,311,Normal Value
359,218,5,5185,2,2,3,223,Key Development
360,28,5,4218,3,2,2,322,Key Development
361,30,3,5171,3,1,3,313,Key Development
362,1292,1,48,1,1,1,111,Hibernated Normal Value
363,63,5,3742,3,2,2,322,Key Development
364,84,6,4676,3,2,3,323,High Value
365,534,3,1479,1,1,1,111,Hibernated Normal Value
366,475,2,2361,1,1,1,111,Hibernated Normal Value
367,95,3,2897,3,1,2,312,Normal Value
368,511,2,2552,1,1,1,111,Hibernated Normal Value
369,88,4,3559,3,1,2,312,Normal Value
370,153,6,6487,2,2,3,223,Key Development
371,437,5,2836,1,2,2,122,Churned High Value
372,233,5,3139,2,2,2,222,Key Development
373,1119,2,895,1,1,1,111,Hibernated Normal Value
374,4,7,8298,3,3,3,333,High Value
375,480,4,2266,1,1,1,111,Hibernated Normal Value
376,128,7,4939,2,3,3,233,High Value
377,36,6,2696,3,2,1,321,Normal Value
378,740,3,1698,1,1,1,111,Hibernated Normal Value
379,430,3,799,1,1,1,111,Hibernated Normal Value
380,49,4,3302,3,1,2,312,Normal Value
381,131,4,3193,2,1,2,212,Normal Value
382,81,3,3075,3,1,2,312,Normal Value
383,155,4,1854,2,1,1,211,Normal Value
384,87,6,6279,3,2,3,323,High Value
385,246,6,5419,2,2,3,223,Key Development
386,74,5,3029,3,2,2,322,Key Development
387,142,3,2634,2,1,1,211,Normal Value
388,104,4,2667,3,1,1,311,Normal Value
389,20,5,3293,3,2,2,322,Key Development
390,168,3,2129,2,1,1,211,Normal Value
391,440,5,3852,1,2,2,122,Churned High Value
392,197,4,2681,2,1,1,211,Normal Value
393,293,5,3049,1,2,2,122,Churned High Value
394,615,5,5823,1,2,3,123,Churned High Value
395,226,2,3031,2,1,2,212,Normal Value
396,835,5,2875,1,2,2,122,Churned High Value
397,294,6,2587,1,2,1,121,Hibernated Normal Value
398,67,6,4821,3,2,3,323,High Value
399,419,4,3747,1,1,2,112,Hibernated Normal Value
400,23,8,3882,3,3,2,332,High Value
401,71,8,6881,3,3,3,333,High Value
402,37,9,5054,3,3,3,333,High Value
403,297,6,5162,1,2,3,123,Churned High Value
404,91,7,4850,3,3,3,333,High Value
405,141,2,128,2,1,1,211,Normal Value
406,386,8,6256,1,3,3,133,Churned High Value
407,339,2,1030,1,1,1,111,Hibernated Normal Value
408,455,4,1512,1,1,1,111,Hibernated Normal Value
409,62,9,6780,3,3,3,333,High Value
410,789,1,48,1,1,1,111,Hibernated Normal Value
411,222,8,2917,2,3,2,232,Key Development
412,49,7,6276,3,3,3,333,High Value
413,48,3,1617,3,1,1,311,Normal Value
414,35,2,2233,3,1,1,311,Normal Value
415,895,2,895,1,1,1,111,Hibernated Normal Value
416,323,3,2321,1,1,1,111,Hibernated Normal Value
417,51,4,2298,3,1,1,311,Normal Value
418,59,4,2734,3,1,2,312,Normal Value
419,83,5,3670,3,2,2,322,Key Development
420,458,5,1126,1,2,1,121,Hibernated Normal Value
421,75,6,3615,3,2,2,322,Key Development
422,548,5,3581,1,2,2,122,Churned High Value
423,670,3,920,1,1,1,111,Hibernated Normal Value
424,618,5,3822,1,2,2,122,Churned High Value
425,61,5,3826,3,2,2,322,Key Development
426,180,4,3676,2,1,2,212,Normal Value
427,137,5,2848,2,2,2,222,Key Development
428,338,7,4041,1,3,2,132,Churned High Value
429,18,4,1296,3,1,1,311,Normal Value
430,919,3,1499,1,1,1,111,Hibernated Normal Value
431,0,5,1465,3,2,1,321,Normal Value
432,144,8,6182,2,3,3,233,High Value
433,595,2,1892,1,1,1,111,Hibernated Normal Value
434,29,7,5739,3,3,3,333,High Value
435,17,7,6023,3,3,3,333,High Value
436,101,3,1753,3,1,1,311,Normal Value
437,657,3,2902,1,1,2,112,Hibernated Normal Value
438,76,4,2312,3,1,1,311,Normal Value
439,315,3,1664,1,1,1,111,Hibernated Normal Value
440,404,5,2779,1,2,2,122,Churned High Value
441,216,5,4255,2,2,2,222,Key Development
442,330,3,3823,1,1,2,112,Hibernated Normal Value
443,409,5,1799,1,2,1,121,Hibernated Normal Value
444,100,6,4918,3,2,3,323,High Value
445,513,5,4364,1,2,2,122,Churned High Value
446,46,7,5770,3,3,3,333,High Value
447,535,2,3481,1,1,2,112,Hibernated Normal Value
448,110,3,1619,2,1,1,211,Normal Value
449,93,5,3128,3,2,2,322,Key Development
450,406,8,6169,1,3,3,133,Churned High Value
451,89,6,4863,3,2,3,323,High Value
452,22,7,3679,3,3,2,332,High Value
453,390,4,1599,1,1,1,111,Hibernated Normal Value
454,425,5,2245,1,2,1,121,Hibernated Normal Value
455,115,4,3755,2,1,2,212,Normal Value
456,230,2,1368,2,1,1,211,Normal Value
457,132,5,4531,2,2,2,222,Key Development
458,73,3,2243,3,1,1,311,Normal Value
459,411,4,2998,1,1,2,112,Hibernated Normal Value
460,14,8,5625,3,3,3,333,High Value
461,22,3,1664,3,1,1,311,Normal Value
462,38,7,6755,3,3,3,333,High Value
463,377,4,4989,1,1,3,113,Hibernated Normal Value
464,121,4,2808,2,1,2,212,Normal Value
465,958,3,1262,1,1,1,111,Hibernated Normal Value
466,790,3,3536,1,1,2,112,Hibernated Normal Value
467,6,5,1627,3,2,1,321,Normal Value
468,252,5,3343,2,2,2,222,Key Development
469,615,6,4627,1,2,3,123,Churned High Value
470,154,4,1475,2,1,1,211,Normal Value
471,86,7,6703,3,3,3,333,High Value
472,104,5,2797,3,2,2,322,Key Development
473,363,6,3259,1,2,2,122,Churned High Value
474,283,6,6739,2,2,3,223,Key Development
475,174,2,1270,2,1,1,211,Normal Value
476,50,2,1477,3,1,1,311,Normal Value
477,190,2,694,2,1,1,211,Normal Value
478,790,4,2401,1,1,1,111,Hibernated Normal Value
479,616,3,2961,1,1,2,112,Hibernated Normal Value
480,0,3,619,3,1,1,311,Normal Value
481,242,5,4272,2,2,2,222,Key Development
482,168,6,3014,2,2,2,222,Key Development
483,300,8,4369,1,3,2,132,Churned High Value
484,272,7,6838,2,3,3,233,High Value
485,243,8,6896,2,3,3,233,High Value
486,27,10,7081,3,3,3,333,High Value
487,862,2,378,1,1,1,111,Hibernated Normal Value
488,233,8,5642,2,3,3,233,High Value
489,370,8,6475,1,3,3,133,Churned High Value
490,673,4,2970,1,1,2,112,Hibernated Normal Value
491,430,4,5529,1,1,3,113,Hibernated Normal Value
492,59,8,5454,3,3,3,333,High Value
493,205,8,4838,2,3,3,233,High Value
494,474,2,1237,1,1,1,111,Hibernated Normal Value
495,153,4,3074,2,1,2,212,Normal Value
496,305,4,2617,1,1,1,111,Hibernated Normal Value
497,117,9,6637,2,3,3,233,High Value
498,237,3,1606,2,1,1,211,Normal Value
499,46,8,4406,3,3,2,332,High Value
500,53,5,5713,3,2,3,323,High Value
501,510,3,1569,1,1,1,111,Hibernated Normal Value
502,128,4,3891,2,1,2,212,Normal Value
503,54,7,5805,3,3,3,333,High Value
504,417,5,2734,1,2,2,122,Churned High Value
505,42,10,5308,3,3,3,333,High Value
506,451,5,3939,1,2,2,122,Churned High Value
507,777,5,2632,1,2,1,121,Hibernated Normal Value
508,257,4,2951,2,1,2,212,Normal Value
509,621,3,1774,1,1,1,111,Hibernated Normal Value
510,426,7,5316,1,3,3,133,Churned High Value
511,188,5,2638,2,2,1,221,Normal Value
512,613,1,1484,1,1,1,111,Hibernated Normal Value
513,2,5,3778,3,2,2,322,Key Development
514,198,3,1527,2,1,1,211,Normal Value
515,308,3,908,1,1,1,111,Hibernated Normal Value
516,39,6,7310,3,2,3,323,High Value
517,144,4,4136,2,1,2,212,Normal Value
518,464,7,5979,1,3,3,133,Churned High Value
519,338,4,2713,1,1,2,112,Hibernated Normal Value
520,301,4,3585,1,1,2,112,Hibernated Normal Value
521,175,5,4765,2,2,3,223,Key Development
522,373,5,4026,1,2,2,122,Churned High Value
523,828,5,4457,1,2,2,122,Churned High Value
524,41,7,8464,3,3,3,333,High Value
525,161,5,2968,2,2,2,222,Key Development
526,8,8,4738,3,3,3,333,High Value
527,170,6,6463,2,2,3,223,Key Development
528,328,4,5544,1,1,3,113,Hibernated Normal Value
529,242,5,1487,2,2,1,221,Normal Value
530,50,9,6240,3,3,3,333,High Value
531,363,3,2344,1,1,1,111,Hibernated Normal Value
532,863,5,2915,1,2,2,122,Churned High Value
533,17,8,4470,3,3,2,332,High Value
534,44,8,6286,3,3,3,333,High Value
535,167,3,871,2,1,1,211,Normal Value
536,594,6,5117,1,2,3,123,Churned High Value
537,276,2,2236,2,1,1,211,Normal Value
538,338,7,3735,1,3,2,132,Churned High Value
539,105,13,11712,3,3,3,333,High Value
540,297,5,2003,1,2,1,121,Hibernated Normal Value
541,114,3,1185,2,1,1,211,Normal Value
542,161,6,3494,2,2,2,222,Key Development
543,21,4,3103,3,1,2,312,Normal Value
544,294,3,426,1,1,1,111,Hibernated Normal Value
545,241,5,4279,2,2,2,222,Key Development
546,123,5,3868,2,2,2,222,Key Development
547,63,6,4793,3,2,3,323,High Value
548,89,8,8058,3,3,3,333,High Value
549,335,4,1953,1,1,1,111,Hibernated Normal Value
550,772,3,2274,1,1,1,111,Hibernated Normal Value
551,69,6,6121,3,2,3,323,High Value
552,106,1,690,3,1,1,311,Normal Value
553,1146,3,2011,1,1,1,111,Hibernated Normal Value
554,118,4,2860,2,1,2,212,Normal Value
555,114,10,4840,2,3,3,233,High Value
556,992,2,1364,1,1,1,111,Hibernated Normal Value
557,36,5,2349,3,2,1,321,Normal Value
558,37,3,2312,3,1,1,311,Normal Value
559,266,5,4823,2,2,3,223,Key Development
560,137,4,5405,2,1,3,213,Normal Value
561,389,7,3888,1,3,2,132,Churned High Value
562,540,2,2372,1,1,1,111,Hibernated Normal Value
563,24,7,6188,3,3,3,333,High Value
564,633,2,3090,1,1,2,112,Hibernated Normal Value
565,144,7,4279,2,3,2,232,Key Development
566,169,4,1561,2,1,1,211,Normal Value
567,86,6,6330,3,2,3,323,High Value
568,206,6,4154,2,2,2,222,Key Development
569,41,4,4082,3,1,2,312,Normal Value
570,298,4,1497,1,1,1,111,Hibernated Normal Value
571,540,1,614,1,1,1,111,Hibernated Normal Value
572,127,8,4664,2,3,3,233,High Value
573,291,8,5212,2,3,3,233,High Value
574,332,5,2691,1,2,1,121,Hibernated Normal Value
575,185,6,4424,2,2,2,222,Key Development
576,154,3,1127,2,1,1,211,Normal Value
577,66,6,6710,3,2,3,323,High Value
578,307,5,5112,1,2,3,123,Churned High Value
579,84,10,6983,3,3,3,333,High Value
580,509,8,4340,1,3,2,132,Churned High Value
581,357,4,3364,1,1,2,112,Hibernated Normal Value
582,380,5,2243,1,2,1,121,Hibernated Normal Value
583,117,4,2245,2,1,1,211,Normal Value
585,318,3,1620,1,1,1,111,Hibernated Normal Value
586,333,5,3229,1,2,2,122,Churned High Value
587,594,6,4542,1,2,2,122,Churned High Value
588,113,3,1516,2,1,1,211,Normal Value
589,50,7,3550,3,3,2,332,High Value
590,427,4,4188,1,1,2,112,Hibernated Normal Value
591,59,3,2491,3,1,1,311,Normal Value
